Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score,,,,,,,
45306.40442,18,Robert Linn,483,Puneet Sharma,358,,,,,,,
45306.40573,18,Sam Rosin,485,Tim Weiss,373,,,,,,,
45306.40605,18,Becky Dyer,461,Austin Shin,451,,,,,,,
45306.40615,18,Kevin Fraley,432,Joshua Castellano,417,,,,,,,
45306.40632,18,Erickson Smith,405,David Brown,341,,,,,,,
45306.40674,18,Jennifer Clinchy,432,Randi Goldberg,404,,,,,,,
45306.44176,19,Ben Schoenbrun,455,Tim Weiss,383,,,,,,,
45306.44605,19,Matthew O'Connor,449,Evan Berofsky,399,,,,,,,
45306.44679,19,Mohammad Sulaiman,487,Jason Ubeika,339,,,,,,,
45306.44834,19,Erickson Smith,581,Puneet Sharma,333,,,,,,,
45306.44957,19,Dean Saldanha,529,Stefan Kac,365,,,,,,,
45306.45088,19,Austin Shin,505,Rob Robinsky,432,,,,,,,
45306.45093,19,Dave Wiegand,482,Kevin Fraley,435,,,,,,,
45306.45119,19,Chris Lipe,603,Becky Dyer,435,,,,,,,
45306.45212,19,Jennifer Clinchy,454,Randi Goldberg,338,,,,,,,
45306.45218,19,Brad Whitmarsh,579,David Brown,325,,,,,,,
45306.45235,19,Joshua Castellano,474,Sam Rosin,305,,,,,,,
45306.45278,19,Evans Clinchy,436,Robert Linn,421,,,,,,,
45306.48473,20,Robert Linn,473,Ben Schoenbrun,370,,,,,,,
45306.48706,20,Joshua Castellano,533,Dave Wiegand,346,,,,,,,
45306.48832,20,Matthew O'Connor,492,Dean Saldanha,472,,,,,,,
45306.49184,20,Puneet Sharma,493,Mohammad Sulaiman,296,,,,,,,
45306.49278,20,Stefan Kac,418,Brad Whitmarsh,369,,,,,,,
45306.4938,20,Kevin Fraley,519,Austin Shin,395,,,,,,,
45306.49402,20,Tim Weiss,495,Becky Dyer,433,,,,,,,
45306.49473,20,Jason Ubeika,441,Jennifer Clinchy,328,,,,,,,
45306.49512,20,Chris Lipe,440,Rob Robinsky,414,,,,,,,
45306.49564,20,David Brown,451,Randi Goldberg,369,,,,,,,
45306.4962,20,Erickson Smith,432,Evan Berofsky,370,,,,,,,
45306.50608,20,Evans Clinchy,433,Sam Rosin,416,,,,,,,
