"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score",,,,,,,
"01/18/26 03:33 PM",15,"Josh Sokol",543,"Erickson Smith",428,,,,,,,
"01/18/26 03:35 PM",15,"Randi Goldberg",452,"Geoff Thevenot",446,,,,,,,
"01/18/26 03:35 PM",15,"Dave Wiegand",509,"Kevin Fraley",398,,,,,,,
"01/18/26 03:48 PM",15,"Greg Harper",388,"Mohammad Sulaiman",376,,,,,,,
"01/18/26 03:50 PM",15,"Jason Ubeika",430,"Ekansh Arora",384,,,,,,,
"01/18/26 04:22 PM",16,"Charles Reinke",493,"Tim Weiss",416,,,,,,,
"01/18/26 04:22 PM",16,"Mohammad Sulaiman",504,"Geoff Thevenot",407,,,,,,,
"01/18/26 04:26 PM",16,"Puneet Sharma",412,"Ben Schoenbrun",377,,,,,,,
"01/18/26 04:26 PM",16,"Evans Clinchy",425,"Scott Jackson",369,,,,,,,
"01/18/26 04:27 PM",16,"Eta Karo",482,"Rob Robinsky",430,,,,,,,
"01/18/26 04:29 PM",16,"Matthew O'Connor",421,"Thomas Reinke",344,,,,,,,
"01/18/26 04:31 PM",16,"Austin Shin",433,"Erickson Smith",358,,,,,,,
"01/18/26 04:38 PM",16,"Josh Sokol",457,"Dave Wiegand",456,,,,,,,
"01/18/26 04:43 PM",16,"Kevin Fraley",449,"Joshua Castellano",379,,,,,,,
"01/18/26 04:44 PM",16,"Randi Goldberg",402,"Sandy Nang",376,,,,,,,
"01/18/26 04:45 PM",16,"Chris Lipe",467,"Jason Ubeika",419,,,,,,,
"01/18/26 04:51 PM",16,"Greg Harper",451,"Ekansh Arora",402,,,,,,,
"01/19/26 07:44 AM",17,"Scott Jackson",485,"Chris Lipe",454,,,,,,,
"01/19/26 07:45 AM",17,"Ben Schoenbrun",421,"Rob Robinsky",310,,,,,,,
"01/19/26 07:49 AM",17,"Josh Sokol",472,"Kevin Fraley",445,,,,,,,
"01/19/26 07:51 AM",17,"Randi Goldberg",490,"Greg Harper",394,,,,,,,
"01/19/26 07:51 AM",17,"Tim Weiss",465,"Geoff Thevenot",367,,,,,,,
"01/19/26 07:52 AM",17,"Matthew O'Connor",396,"Austin Shin",382,,,,,,,
